user_id,selected_test_positive_item,test_positive_count,train_degree,listwise_jsd_mean,listwise_jsd_std_across_permutations,original_positive_probability,permuted_positive_probability_mean,positive_probability_change
182,585,6,12,0.126082226634,0.110728405416,0.698949873447,0.395178198814,-0.303771674633
184,941,1,4,0.0760271623731,0.0148977991194,0.0274673234671,0.0394447185099,0.0119773950428
185,3113,4,6,0.0750393345952,0.0112995840609,0.0779271349311,0.0652223303914,-0.0127048045397
186,7166,21,65,0.0648752227426,0.00773640163243,0.0169515293092,0.0200734995306,0.0031219702214
187,2438,25,58,0.140401348472,0.0478401556611,0.114450700581,0.0302626956254,-0.0841880068183
188,6697,10,30,0.106138445437,0.0343805700541,0.00945029594004,0.0142462579533,0.0047959620133
189,5594,24,51,0.0806763768196,0.0296252053231,0.147861272097,0.122746966779,-0.0251143053174
190,6649,1,7,0.083814650774,0.011644365266,0.0160136334598,0.00788586493582,-0.00812776852399
191,4566,6,2,0.0896381214261,0.0165588725358,0.0321265235543,0.0382645316422,0.00613800808787
192,3280,7,11,0.173647940159,0.0731936842203,0.0249911881983,0.0254560280591,0.000464839860797
193,8094,5,9,0.107847027481,0.0187513567507,0.00587713671848,0.0197443142533,0.0138671770692
194,6741,2,23,0.132842555642,0.0415548123419,0.00773726915941,0.00442428141832,-0.00331298774108
195,5671,19,39,0.443287938833,0.0321670919657,0.867151200771,0.0378002561629,-0.829350948334
196,4407,3,17,0.0857447981834,0.0433219261467,0.0130189917982,0.0102700823918,-0.00274890940636
197,3064,1,3,0.0878049656749,0.0257851872593,0.0124406740069,0.00507031520829,-0.00737035879865
198,2038,2,4,0.100532054901,0.0280992332846,0.0244854204357,0.0140401311219,-0.0104452893138
199,337,29,84,0.07436157763,0.00890836305916,0.275835037231,0.229266002774,-0.0465690344572
200,134,4,15,0.040842205286,0.00476735224947,0.185574635863,0.254660964012,0.0690863281488
201,891,6,8,0.106617175043,0.0407605394721,0.00376896560192,0.00830700155348,0.00453803595155
202,5411,3,1,0.177868530154,0.0208346340805,0.00268021901138,0.0136212408543,0.0109410220757
203,2905,17,30,0.136580407619,0.0362742729485,0.0111760031432,0.0146135939285,0.00343759078532
204,2621,2,7,0.164919659495,0.0403763800859,0.0574753209949,0.0653047263622,0.00782940536737
205,255,1,10,0.10059261322,0.0223230812699,0.0191417820752,0.0791999474168,0.0600581653416
206,2769,1,5,0.10301848501,0.0683013871312,0.0307347755879,0.0186977498233,-0.0120370257646
207,3064,2,7,0.158502444625,0.0469439923763,0.505072891712,0.122740037739,-0.382332861423
208,368,4,10,0.0929747000337,0.0370027609169,0.0226389728487,0.00905228499323,-0.0135866878554
209,3059,4,13,0.0596912316978,0.0139368046075,0.109889023006,0.0565807037055,-0.0533083193004
210,4295,3,34,0.151910886168,0.0298079736531,0.0564496405423,0.0538126528263,-0.00263698771596
211,2769,2,4,0.0919313952327,0.0210501831025,0.118033133447,0.0423146486282,-0.0757184848189
212,2769,3,5,0.194604933262,0.02183011733,0.536118030548,0.0838762447238,-0.452241778374
213,2769,5,8,0.0978343188763,0.0229310914874,0.0387791581452,0.0139137478545,-0.024865411222
214,1126,7,20,0.0989224910736,0.0085801621899,0.00408686930314,0.0121474871412,0.00806061737239
215,1873,18,33,0.0775504633784,0.0110567593947,0.0533509925008,0.0767505243421,0.0233995318413
216,6765,7,3,0.0641305074096,0.0103176273406,0.0321987941861,0.0162853822112,-0.0159134119749
217,2754,11,46,0.0879220589995,0.0464861467481,0.00412274664268,0.00698704272509,0.00286429608241
218,1555,2,3,0.255748361349,0.0640698224306,0.335071563721,0.0742266699672,-0.260844886303
219,4519,5,14,0.157926440239,0.0301540233195,0.121343672276,0.09986641258,-0.0214772596955
220,4527,7,23,0.118200458586,0.0701802074909,0.00753157306463,0.00384988263249,-0.00368169043213
221,489,4,16,0.102121926844,0.0264074578881,0.347435891628,0.370493769646,0.0230578780174
222,5621,15,50,0.0860300660133,0.0261784438044,0.0970612242818,0.0386193655431,-0.0584418587387
223,582,11,21,0.0698582902551,0.0141981700435,0.123336054385,0.0469941832125,-0.0763418674469
224,7997,2,10,0.0851023718715,0.0292915739119,0.0163499191403,0.0120035484433,-0.00434637069702
225,321,15,36,0.108916401863,0.0546698458493,0.188249230385,0.194497302175,0.00624807178974
226,443,5,15,0.0677390024066,0.0252014864236,0.155183494091,0.126491472125,-0.028692021966
